TIMESTAMP_START,TIMESTAMP_END,TA_F_MDS,PPFD_IN,VPD_F,GPP_NT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_VUT_MEAN,GPP_DT_CUT_MEAN,NIRV
201506131100.0,201506131130.0,26.33,956.0,18.859,17.5579,17.546,13.2893,13.1929,0.0
201506131200.0,201506131230.0,25.7,569.8,16.531,9.73738,9.72609,11.0423,10.9802,0.4954654614932394
201506271630.0,201506271700.0,14.75,0.0,6.682,1.24232,1.1217,0.0,0.0,0.2921837837837838
201507111100.0,201507111130.0,28.53,715.0,23.787,11.4443,11.4258,16.3729,16.3287,0.0
201507111800.0,201507111830.0,19.67,0.0,6.984,-0.0796824,-0.100509,0.0,0.0,0.0
201507111900.0,201507111930.0,19.09,0.0,5.1579999999999995,-0.240101,-0.269079,0.0,0.0,0.0
201507211300.0,201507211330.0,19.8,62.52,5.001,1.8266200000000001,1.83233,3.0413799999999998,3.04888,0.0
201507211830.0,201507211900.0,17.12,0.0,1.047,-0.49912399999999996,-0.49094399999999994,0.0,0.0,0.0
201507241730.0,201507241800.0,14.71,0.0,0.7070000000000001,0.765633,0.791187,0.0,0.0,0.0
201507241930.0,201507242000.0,14.18,0.0,0.9129999999999999,-12.1279,-12.58,0.0,0.0,0.0
201507251230.0,201507251300.0,18.37,131.8,7.301,7.1216800000000005,7.143489999999999,5.2018699999999995,5.08706,0.0
201507261200.0,201507261230.0,15.6,73.2,6.447,4.8297099999999995,4.879659999999999,2.51563,2.45783,0.0
201507261400.0,201507261430.0,15.83,0.64,3.741,2.41934,2.47173,0.0,0.0,0.0
201507261530.0,201507261600.0,15.92,0.0,2.7969999999999997,0.6156590000000001,0.756687,0.0,0.0,0.0
201507261730.0,201507261800.0,15.95,0.0,1.7309999999999999,0.563477,0.7016899999999999,0.0,0.0,0.0
201507281200.0,201507281230.0,24.85,588.4,15.672,13.588,13.5928,14.0792,13.9454,0.0
201507281530.0,201507281600.0,19.62,0.0,6.864,1.30989,1.31756,0.0,0.0,0.0
201507281700.0,201507281730.0,17.76,0.0,5.966,1.1435,1.1528200000000002,0.0,0.0,0.0
201507281900.0,201507281930.0,15.94,0.0,3.784,0.8558479999999999,0.86495,0.0,0.0,0.0
201507291200.0,201507291230.0,28.66,485.0,19.083,14.8224,14.809000000000001,10.2581,10.2319,0.0
201508021530.0,201508021600.0,19.63,0.0,8.082,-0.676723,-0.7829729999999999,0.0,0.0,0.3477325066430469
201508021700.0,201508021730.0,17.67,0.0,5.787999999999999,-0.29741300000000004,-0.332688,0.0,0.0,0.0
201508030130.0,201508030200.0,18.14,759.0,8.728,15.1481,15.127,14.8846,14.8123,0.0
201508030330.0,201508030400.0,24.24,1485.0,13.364,17.9394,17.8893,19.6536,19.585,0.0
201508030900.0,201508030930.0,28.48,1547.0,22.502,21.5879,21.5297,19.1263,19.0308,0.0
201508040200.0,201508040230.0,18.52,562.3,6.257999999999999,13.294,13.259,13.5942,13.5525,0.0
201508060200.0,201508060230.0,17.3,977.0,3.596,20.9726,20.9642,17.7433,17.7501,0.0
201508060330.0,201508060400.0,19.55,1013.0,7.196000000000001,17.1126,17.0987,20.4301,20.4487,0.0
201508061100.0,201508061130.0,21.39,642.4,10.758,12.4006,12.3877,13.5874,13.5818,0.0
201508061430.0,201508061500.0,17.57,0.0,6.306,1.41634,1.40965,0.0,0.0,0.0
201508070200.0,201508070230.0,16.96,975.0,4.205,15.6604,15.6583,17.6032,17.6389,0.0
201508070900.0,201508070930.0,23.41,1087.0,14.450999999999999,21.2804,21.2753,19.3089,19.2964,0.0
201508071300.0,201508071330.0,22.43,94.9,9.847999999999999,2.79667,2.80057,4.0904300000000005,4.10377,0.47402647943831494
201508080200.0,201508080230.0,18.25,957.0,3.9739999999999998,16.9344,16.9453,18.0087,18.1082,0.0
201508080400.0,201508080430.0,21.62,1623.0,9.163,20.0119,20.0176,21.3097,21.4101,0.0
201508080730.0,201508080800.0,24.22,1056.0,15.645999999999999,15.1136,15.1727,17.9085,17.9477,0.0
201508081100.0,201508081130.0,25.69,819.0,15.2,12.5823,12.5898,17.307000000000002,17.3661,0.0
201508081430.0,201508081500.0,20.37,0.0,7.365,0.359648,0.375089,0.0,0.0,0.32881995574331124
201508090200.0,201508090230.0,16.54,873.0,3.262,17.5153,17.5384,18.0864,18.2154,0.0
201508090730.0,201508090800.0,21.37,1127.0,11.55,21.6354,21.6542,20.2334,20.3192,0.0
201508090930.0,201508091000.0,21.96,1035.0,12.527999999999999,20.8559,20.8737,20.9372,20.995,0.0
201508091100.0,201508091130.0,21.14,470.9,12.66,16.5572,16.575,14.4608,14.5398,0.0
201508091300.0,201508091330.0,19.85,97.9,9.111,4.29852,4.31646,5.51692,5.564690000000001,0.0
201508091500.0,201508091530.0,16.47,0.0,6.172999999999999,-0.9999520000000001,-1.10028,0.0,0.0,0.0
201508091630.0,201508091700.0,15.32,0.0,4.426,-0.631867,-0.619471,0.0,0.0,0.0
201508092000.0,201508092030.0,13.65,0.0,1.735,-0.10255399999999999,-0.0903199,0.0,0.0,0.0
201508101430.0,201508101500.0,19.47,0.0,9.536,-1.24006,-1.22265,0.0,0.0,0.0
201508101600.0,201508101630.0,18.6,0.0,7.205,1.05398,1.07066,0.0,0.0,0.0
201508110200.0,201508110230.0,17.73,441.4,3.697,15.1473,15.1662,13.0267,13.0632,0.0
201508110900.0,201508110930.0,16.54,226.0,8.667,9.25549,9.27416,8.27857,8.30535,0.0
201508111100.0,201508111130.0,15.32,154.1,5.952999999999999,3.97177,3.9906699999999997,6.25111,6.27274,0.0
201508111230.0,201508111300.0,14.92,27.26,3.31,0.36648400000000003,0.385359,1.34045,1.3461299999999998,0.0
201508111430.0,201508111500.0,15.21,0.0,0.622,-0.0650144,-0.058826199999999995,0.0,0.0,0.0
201508111600.0,201508111630.0,15.75,0.0,0.488,0.0183142,0.0241578,0.0,0.0,0.0
201508112000.0,201508112030.0,16.6,0.0,0.408,0.151265,0.15636,0.0,0.0,0.0
201508112130.0,201508112200.0,16.66,0.0,0.38299999999999995,0.162366,0.16727899999999998,0.0,0.0,0.0
201508121600.0,201508121630.0,17.11,0.0,0.767,0.24281599999999998,0.246549,0.0,0.0,0.0
201508122000.0,201508122030.0,15.95,0.0,0.331,0.0545187,0.0625418,0.0,0.0,0.0
201508170200.0,201508170230.0,21.21,820.0,4.593,18.7806,18.813,16.5403,16.9277,0.0
201508170900.0,201508170930.0,30.71,1436.0,23.837,15.3081,15.3004,15.7597,15.8866,0.0
201508171100.0,201508171130.0,30.51,758.0,23.233,13.0667,13.0591,12.8459,13.0171,0.0
201508171230.0,201508171300.0,28.73,176.7,17.792,5.88998,5.88384,5.89449,6.0343800000000005,0.39587729710404007
201508180200.0,201508180230.0,21.66,843.0,4.607,18.565,18.5979,15.6376,15.765999999999998,0.0
201508180900.0,201508180930.0,31.97,1396.0,18.761,16.5276,16.521,16.7592,16.7504,0.0
201508181100.0,201508181130.0,31.17,548.5,16.705,12.1216,12.0964,11.1019,11.117,0.0
201508181300.0,201508181330.0,27.48,47.58,10.657,3.55493,3.54149,1.70413,1.7079799999999998,0.45112980769230765
201508181430.0,201508181500.0,24.47,0.0,6.979,0.979875,0.972417,0.0,0.0,0.36216191471571907
