TIMESTAMP_START,TIMESTAMP_END,TA_F_MDS,VPD_F,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,NIRV
201704162000.0,201704162030.0,11.634,7.4670000000000005,-0.356114,0.0026796999999999997,0.12564792475976283
201704162200.0,201704162230.0,9.238,4.396,-0.267675,0.00266611,0.12975162931171516
201704170700.0,201704170730.0,18.024,13.55,0.619563,0.930823,0.0
201704170900.0,201704170930.0,18.848,14.732999999999999,0.556228,0.783714,0.0
201704171100.0,201704171130.0,13.353,6.832000000000001,-0.3908,0.453193,0.0
201704171230.0,201704171300.0,10.814,5.265,-0.3908,0.0302531,0.0
201704171430.0,201704171500.0,8.633,3.697,-0.3908,0.00122894,0.08066270037794866
201704171600.0,201704171630.0,7.374,2.81,-0.312078,0.0008669330000000001,0.0
201704171800.0,201704171830.0,6.212999999999999,2.041,0.189913,0.00204336,0.0
201704172000.0,201704172030.0,5.581,1.786,-0.20693000000000003,0.000716223,0.0
201704172130.0,201704172200.0,5.479,1.6130000000000002,-0.20693000000000003,0.00177049,0.0
201704180130.0,201704180200.0,10.402999999999999,4.406000000000001,-0.20693000000000003,0.9372370000000001,0.0
201704180700.0,201704180730.0,20.073,15.792,-0.20693000000000003,0.8899309999999999,0.0
201704180900.0,201704180930.0,20.71,15.206,-0.20693000000000003,0.5216529999999999,0.0
201704181030.0,201704181100.0,21.090999999999998,14.117,-0.20693000000000003,0.392063,0.0
201704181230.0,201704181300.0,19.998,11.363,-0.20693000000000003,0.0100572,0.0
201704181430.0,201704181500.0,19.886,10.397,-0.20693000000000003,0.00264482,0.13713583561643836
201704181600.0,201704181630.0,18.583,6.608,-0.20693000000000003,0.0024971999999999998,0.0
201704181800.0,201704181830.0,16.901,3.252,-0.741215,0.00249354,0.0
201704181930.0,201704182000.0,16.078,2.0340000000000003,-0.29335300000000003,0.00258433,0.0
201704182130.0,201704182200.0,13.651,3.3360000000000003,0.0299765,0.00242828,0.0
201704190200.0,201704190230.0,11.454,3.043,0.031486099999999996,0.694549,0.0
201704190730.0,201704190800.0,13.798,5.5,0.190001,0.971477,0.0
201704190900.0,201704190930.0,13.429,4.928,2.54942,0.50255,0.0
201704191100.0,201704191130.0,13.333,4.367,2.54942,0.458429,0.0
201704191300.0,201704191330.0,9.476,3.1189999999999998,2.54942,0.00177106,0.0
201704191430.0,201704191500.0,8.372,2.677,2.54942,0.00129361,0.0
201704191630.0,201704191700.0,8.264,2.7319999999999998,2.54942,0.000811083,0.0
201704191800.0,201704191830.0,5.867000000000001,0.17,2.54942,0.042938199999999996,0.0
201704192000.0,201704192030.0,5.556,0.607,2.54942,0.00456738,0.0
201704192200.0,201704192230.0,6.109,0.377,2.54942,0.00426094,0.0
201704200230.0,201704200300.0,8.043,0.382,2.7974,0.5885739999999999,0.0
201704200730.0,201704200800.0,12.48,3.739,1.3107,0.670814,0.0
201704200930.0,201704201000.0,10.575,3.76,0.24255700000000002,0.45472299999999993,0.0
201704201130.0,201704201200.0,9.854,3.3760000000000003,0.0569802,0.12004200000000001,0.0
201704201300.0,201704201330.0,8.943,3.063,0.47977700000000006,0.00184396,0.0
201704201500.0,201704201530.0,8.62,3.258,0.16087100000000001,0.00148898,0.0
201704201630.0,201704201700.0,8.071,3.377,-0.550003,0.00130114,0.0
201704201830.0,201704201900.0,6.5489999999999995,3.324,0.287916,0.0010032,0.0
201704202030.0,201704202100.0,4.515,2.324,0.6158170000000001,0.000853027,0.0
201704202200.0,201704202230.0,3.972,2.016,-0.371753,0.0008746860000000001,0.0
201704210100.0,201704210130.0,5.029,2.585,0.505608,0.9397340000000001,0.0
201704210230.0,201704210300.0,5.855,2.9619999999999997,0.62078,1.12545,0.0
201704210800.0,201704210830.0,12.206,8.013,0.016321600000000002,1.3710799999999999,0.0
201704211000.0,201704211030.0,13.644,9.517000000000001,0.0399329,1.10043,0.0
201704211130.0,201704211200.0,13.886,9.966000000000001,-0.14566700000000002,0.462708,0.0
201704211330.0,201704211400.0,12.905999999999999,8.6,-0.14566700000000002,0.00109834,0.0
201704211500.0,201704211530.0,11.534,6.617999999999999,-0.14566700000000002,0.000647882,0.0
201704211700.0,201704211730.0,8.843,4.158,-0.14566700000000002,0.0008307330000000001,0.0
201704211900.0,201704211930.0,7.452000000000001,4.192,-0.14566700000000002,7.56634e-05,0.0
201704212230.0,201704212300.0,5.305,3.327,-0.5509470000000001,0.00898254,0.0
201704220230.0,201704220300.0,7.346,4.78,1.15586,1.3365799999999999,0.0
201704220800.0,201704220830.0,15.923,13.414000000000001,2.9656599999999997,1.3435700000000002,0.0
201704220930.0,201704221000.0,17.634,15.198,0.30419,1.19808,0.0
201704221130.0,201704221200.0,18.011,16.346,0.7658510000000001,0.7474149999999999,0.0
201704221330.0,201704221400.0,15.135,12.879000000000001,0.7658510000000001,0.0,0.14805844355582895
201704221500.0,201704221530.0,13.267999999999999,10.315,0.7658510000000001,0.00222454,0.1292255297679112
201704221700.0,201704221730.0,11.901,8.972999999999999,0.7658510000000001,0.00285891,0.09776973845025665
201704221830.0,201704221900.0,10.849,7.8229999999999995,0.7658510000000001,0.00254342,0.10762748375116064
201704222030.0,201704222100.0,9.495,4.419,0.7658510000000001,0.00238542,0.1312310331384016
201704222230.0,201704222300.0,8.875,6.306,0.7658510000000001,0.010956200000000001,0.16048560105680315
201704230200.0,201704230230.0,14.682,10.967,1.37179,1.26688,0.0
201704230730.0,201704230800.0,19.28,16.762999999999998,-0.050917500000000004,1.24864,0.0
201704230930.0,201704231000.0,20.717,18.759,-0.0788408,1.09639,0.0
201704231100.0,201704231130.0,20.906999999999996,18.497,-0.08818739999999999,0.7731779999999999,0.0
201704231300.0,201704231330.0,18.962,15.595999999999998,-0.08818739999999999,0.00138777,0.16310711681493367
201704231830.0,201704231900.0,6.197,1.923,-0.17463299999999998,0.000563271,0.10202512796649606
201704232000.0,201704232030.0,5.0889999999999995,1.379,1.6830900000000002,0.0,0.12269871182214834
201704232200.0,201704232230.0,4.357,1.14,1.2221899999999999,0.0,0.1469832361068468
201704240200.0,201704240230.0,10.315999999999999,4.7,1.2221899999999999,1.1467200000000002,0.0
201704240700.0,201704240730.0,20.14,18.207,1.2221899999999999,1.17107,0.0
201704240900.0,201704240930.0,21.679000000000002,21.54,1.2221899999999999,0.9444440000000001,0.0
201704241100.0,201704241130.0,21.601999999999997,21.735,1.2221899999999999,0.754528,0.0
201704241230.0,201704241300.0,18.635,15.084000000000001,1.2221899999999999,0.07640419999999999,0.0
201704241430.0,201704241500.0,16.788,12.788,1.2221899999999999,0.0,0.0
201704241600.0,201704241630.0,16.322,12.67,1.2221899999999999,0.0,0.0
201704241800.0,201704241830.0,15.849,11.497,1.2221899999999999,0.0,0.0
201704242130.0,201704242200.0,13.654000000000002,7.926,1.2221899999999999,0.0,0.0
201704250100.0,201704250130.0,15.062999999999999,8.368,1.2221899999999999,1.00731,0.0
201704250200.0,201704250230.0,17.524,11.382,1.2221899999999999,1.12953,0.0
201704250730.0,201704250800.0,21.982,18.235,1.2221899999999999,0.716208,0.0
201704250830.0,201704250900.0,21.665,16.500999999999998,1.2221899999999999,1.08572,0.0
201704250930.0,201704251000.0,22.389,16.567,1.2221899999999999,0.9525389999999999,0.0
201704251100.0,201704251130.0,22.613000000000003,16.73,1.2221899999999999,0.677064,0.0
201704251200.0,201704251230.0,22.609,16.701,1.2221899999999999,0.22542399999999999,0.0
201704251300.0,201704251330.0,21.206999999999997,13.417,1.2221899999999999,0.000470175,0.17982553672316387
201704251400.0,201704251430.0,19.485,10.625,1.2221899999999999,0.0,0.1491054997259273
201704251500.0,201704251530.0,18.901,9.68,1.2221899999999999,0.0,0.12404543283582091
201704251600.0,201704251630.0,18.783,9.422,1.2221899999999999,0.0,0.0
201704251730.0,201704251800.0,18.416,8.624,1.2221899999999999,0.0,0.0
201704251930.0,201704252000.0,17.831,7.058,1.2221899999999999,0.00108397,0.0
201704252030.0,201704252100.0,16.897000000000002,5.676,1.2221899999999999,0.0,0.0
201704252300.0,201704252330.0,17.054000000000002,5.59,1.2221899999999999,0.250155,0.0
201704260130.0,201704260200.0,14.968,1.88,1.2221899999999999,0.387477,0.0
201704260230.0,201704260300.0,14.321,0.828,1.2221899999999999,0.574823,0.0
201704260800.0,201704260830.0,16.712,4.787,1.2221899999999999,1.2284700000000002,0.0
201704260900.0,201704260930.0,15.843,4.04,1.2221899999999999,0.629552,0.0
201704261000.0,201704261030.0,14.052999999999999,2.542,1.2221899999999999,0.652419,0.0
201704261100.0,201704261130.0,12.194,1.443,1.2221899999999999,0.225652,0.0
201704261200.0,201704261230.0,11.612,1.426,1.2221899999999999,0.15792899999999999,0.0
201704261330.0,201704261400.0,10.729000000000001,1.061,1.2221899999999999,0.000573825,0.0
201704261430.0,201704261500.0,10.213,1.297,1.10723,0.0005122519999999999,0.0
201704261530.0,201704261600.0,9.509,0.885,3.05997,0.000574764,0.0
201704261630.0,201704261700.0,8.527000000000001,0.518,1.76866,0.000683962,0.0
201704261730.0,201704261800.0,8.184,0.552,1.4290100000000001,0.00720367,0.0
201704262000.0,201704262030.0,6.821000000000001,0.39,1.4290100000000001,0.00505387,0.0
201704262200.0,201704262230.0,5.193,0.359,1.4290100000000001,0.00419754,0.0
201704262300.0,201704262330.0,4.998,0.622,1.4290100000000001,0.03501,0.0
201704270130.0,201704270200.0,2.8080000000000003,0.557,1.4290100000000001,0.624549,0.0
201704270230.0,201704270300.0,2.322,0.595,1.4290100000000001,0.675976,0.0
201704270700.0,201704270730.0,5.292000000000001,2.11,4.841419999999999,1.08251,0.0
201704270800.0,201704270830.0,6.225,2.7510000000000003,8.47895,1.36606,0.0
201704270900.0,201704270930.0,5.9479999999999995,2.702,1.28748,1.2940200000000002,0.0
201704271030.0,201704271100.0,4.857,1.943,1.22603,0.679048,0.0
201704271130.0,201704271200.0,4.796,2.202,1.22603,0.299722,0.0
201704271330.0,201704271400.0,4.391,2.53,0.403737,0.00376714,0.0
201704271430.0,201704271500.0,3.9560000000000004,2.467,0.403737,0.0006962660000000001,0.0
201704271600.0,201704271630.0,3.676,2.5860000000000003,-0.0830745,0.000443724,0.0
201704271700.0,201704271730.0,3.895,2.593,0.53052,0.000856093,0.0
201704271800.0,201704271830.0,3.795,2.415,1.05819,0.000729939,0.0
201704271900.0,201704271930.0,3.4419999999999997,2.2,-0.13536700000000002,0.000651168,0.0
201704272000.0,201704272030.0,2.917,1.896,-0.13536700000000002,0.000508703,0.0
201704272230.0,201704272300.0,1.614,1.218,9.94557,0.0315036,0.0
201704272330.0,201704280000.0,1.359,1.133,5.99247,0.808441,0.0
201704280100.0,201704280130.0,2.53,1.831,2.47717,1.51578,0.0
201704280200.0,201704280230.0,3.378,2.452,2.4805900000000003,1.70187,0.0
201704280730.0,201704280800.0,8.002,3.9339999999999997,1.60667,1.4885899999999999,0.0
201704280830.0,201704280900.0,8.217,3.9730000000000003,1.60667,1.10351,0.0
201704280930.0,201704281000.0,8.488999999999999,4.035,2.8035200000000002,0.782405,0.0
201704281030.0,201704281100.0,8.127,3.009,1.9827099999999998,0.44863400000000003,0.0
201704281130.0,201704281200.0,8.24,2.7110000000000003,1.9827099999999998,0.10827200000000001,0.0
201704281830.0,201704281900.0,7.477,2.5660000000000003,-0.132404,0.00113976,0.0
201704281930.0,201704282000.0,7.353,2.8139999999999996,0.0976952,0.00132051,0.0
201704282030.0,201704282100.0,7.244,3.5989999999999998,0.527101,0.0014723,0.0
201704282130.0,201704282200.0,6.772,3.236,1.03132,0.00103462,0.0
201704282230.0,201704282300.0,5.997999999999999,2.9819999999999998,0.198802,0.0441263,0.0
201704290700.0,201704290730.0,6.646,3.722,0.709882,1.3759,0.0
201704290830.0,201704290900.0,6.605,3.2,0.07676960000000001,1.1678899999999999,0.0
201704290930.0,201704291000.0,6.3020000000000005,2.8339999999999996,0.07676960000000001,0.9243450000000001,0.0
201704291030.0,201704291100.0,5.335,1.954,0.07676960000000001,0.580372,0.0
201704291130.0,201704291200.0,4.136,1.6280000000000001,0.07676960000000001,0.49321899999999996,0.0
201704291230.0,201704291300.0,3.9810000000000003,1.57,0.07676960000000001,0.0405467,0.0
201704291500.0,201704291530.0,3.832,1.0490000000000002,0.07676960000000001,0.00375972,0.0
